short,long
"AESO","Alberta Electric System Operator"
"YAD","Alcoa Power Generating Inc Yadkin Division"
"AMPL","Anchorage AK (City of)"
"AZPS","Arizona Public Service Co"
"DEAA","Arlington Valley LLC"
"AECI","Associated Electric Coop Inc"
"AVRN","Avangrid Renewables LCC"
"AVA","Avista Corp"
"BANC","Balancing Authority of Northern California"
"BPAT","Bonneville Power Administration"
"BCHA","British Columbia Hydro & Power Authority"
"BCTC","British Columbia Transmission Corp"
"CISO","California Independent System Operator (Balancing Authority)"
"CEA","Chugach Electric Association Inc"
"CFE","Comision Federal de Electricidad"
"DUK","Duke Energy Carolinas LLC"
"FPC","Duke Energy Florida Inc"
"CPLE","Duke Energy Progress East"
"CPLW","Duke Energy Progress West"
"EKPC","East Kentucky Power Coop Inc"
"ELE","El Paso Electric"
"EEI","Electric Energy Inc"
"ERCO","ERCOT ISO (Balancing Authority)"
"FMPP","Florida Municipal Power Pool"
"FPL","Florida Power & Light"
"GVL","Gainesville Regional Utilities"
"GRMA","Gila River Power LLC"
"GRID","Gridforce Energy Management LLC"
"GLHB","Gridliance Heartland"
"GRIF","Griffith Energy LLC"
"HEC","Hawaiian Electric Co"
"HST","Homestead (City of)"
"HQT","Hydro Quebec TransEnergie"
"IPCO","Idaho Power Co"
"IESO","IESO (Ontario)"
"IID","Imperial Irrigation District"
"JEA","JEA"
"LGEE","LG&E & KU Services Co"
"LDWP","Los Angeles Dept of Water & Power"
"MHEB","Manitoba Hydro Electric"
"MISO","Midcontinent ISO (Balancing Authority)"
"GWA","NaturEner Power Watch LLC (GWA)"
"WWA","NaturEner Wind Watch LLC"
"NEVP","Nevada Power Co"
"NBSO","New Brunswick System Operator"
"ISNE","New England ISO (Balancing Authority)"
"HGMA","New Harquahala Generating Co LLC"
"NSB","New Smyrna Beach Utilities Commission"
"NYIS","New York ISO (Balancing Authority)"
"NMISA","Northern Maine"
"MPCO","Northwestern Energy"
"NSPI","Nova Scotia Power"
"OVEC","Ohio Valley Electric Corp"
"PACE","PacifiCorp East"
"PACW","PacifiCorp West"
"PJM","PJM Interconnection"
"PGE","Portland General Electric"
"POWX","Powerex Corp"
"AEC","PowerSouth Energy Coop"
"PSCO","Public Service Co of Colorado"
"PNM","Public Service Co of New Mexico"
"CHPD","PUD No 1 of Chelan County"
"DOPD","PUD No 1 of Douglas County"
"GCPD","PUD No 2 of Grant County"
"PSEI","Puget Sound Energy Inc"
"RC","Reedy Creek Improvement District"
"SRP","Salt River Project"
"SPC","Saskatchewan Power Corp"
"SCL","Seattle City Light"
"SEC","Seminole Electric Coop Inc"
"SCEG","South Carolina Electric & Gas Co"
"SC","South Carolina Public Service Authority"
"SEPA","Southeastern Power Administration (Southern)"
"SOCO","Southern Co Services Inc"
"SWPP","Southwest Power Pool (Balancing Authority)"
"SPA","Southwestern Power Administration"
"TPWR","Tacoma Power"
"TAL","Tallahassee FL (City of)"
"TEC","Tampa Electric Co"
"TVA","Tennessee Valley Authority"
"TEPC","Tucson Electric Power Co"
"TIDC","Turlock Irrigation District"
"WALC","WAPA Desert Southwest Region"
"WACM","WAPA Rocky Mountain Region"
"WAUW","WAPA Upper Great Plains West"
