short,long
"ME","Maine"
"MA","Massachusetts"
"MI","Michigan"
"MT","Montana"
"NV","Nevada"
"NJ","New Jersey"
"NY","New York"
"NC","North Carolina"
"OH","Ohio"
"PA","Pennsylvania"
"RI","Rhode Island"
"TN","Tennessee"
"TX","Texas"
"UT","Utah"
"WA","Washington"
"WI","Wisconsin"
"PR","Puerto Rico"
"MD","Maryland"
"AL","Alabama"
"AK","Alaska"
"AZ","Arizona"
"AR","Arkansas"
"CA","California"
"CO","Colorado"
"CT","Connecticut"
"DE","Delaware"
"DC","District of Columbia"
"FL","Florida"
"GA","Georgia"
"HI","Hawaii"
"ID","Idaho"
"IL","Illinois"
"IN","Indiana"
"IA","Iowa"
"KS","Kansas"
"KY","Kentucky"
"LA","Louisiana"
"MN","Minnesota"
"MS","Mississippi"
"MO","Missouri"
"NE","Nebraska"
"NH","New Hampshire"
"NM","New Mexico"
"ND","North Dakota"
"OK","Oklahoma"
"OR","Oregon"
"SC","South Carolina"
"SD","South Dakota"
"VT","Vermont"
"VA","Virginia"
"WV","West Virginia"
"WY","Wyoming"
